编号,英文slug,标题,难度,是否付费,任务领受Agent编号,当前任务状态
83,remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,简单,否,,已拉取
84,largest-rectangle-in-histogram,Largest Rectangle in Histogram,困难,否,,已拉取
85,maximal-rectangle,Maximal Rectangle,困难,否,,已拉取
86,partition-list,Partition List,中等,否,,已拉取
87,scramble-string,Scramble String,困难,否,,已拉取
88,merge-sorted-array,Merge Sorted Array,简单,否,,已拉取
89,gray-code,Gray Code,中等,否,,已拉取
90,subsets-ii,Subsets II,中等,否,,已拉取
91,decode-ways,Decode Ways,中等,否,,已拉取
92,reverse-linked-list-ii,Reverse Linked List II,中等,否,,已拉取
93,restore-ip-addresses,Restore IP Addresses,中等,否,,已拉取
94,binary-tree-inorder-traversal,Binary Tree Inorder Traversal,简单,否,,已拉取
95,unique-binary-search-trees-ii,Unique Binary Search Trees II,中等,否,,已拉取
96,unique-binary-search-trees,Unique Binary Search Trees,中等,否,,已拉取
97,interleaving-string,Interleaving String,中等,否,,已拉取
98,validate-binary-search-tree,Validate Binary Search Tree,中等,否,,已拉取
99,recover-binary-search-tree,Recover Binary Search Tree,中等,否,,已拉取
100,same-tree,Same Tree,简单,否,,已拉取
101,symmetric-tree,Symmetric Tree,简单,否,,已拉取
102,binary-tree-level-order-traversal,Binary Tree Level Order Traversal,中等,否,,已拉取
103,binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,中等,否,,已拉取
104,maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,简单,否,,已拉取
105,construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,中等,否,,已拉取
106,construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree from Inorder and Postorder Traversal,中等,否,,已拉取
107,binary-tree-level-order-traversal-ii,Binary Tree Level Order Traversal II,中等,否,,已拉取
108,convert-sorted-array-to-binary-search-tree,Convert Sorted Array to Binary Search Tree,简单,否,,已拉取
109,convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,中等,否,,已拉取
110,balanced-binary-tree,Balanced Binary Tree,简单,否,,已拉取
111,minimum-depth-of-binary-tree,Minimum Depth of Binary Tree,简单,否,,已拉取
112,path-sum,Path Sum,简单,否,,已拉取
113,path-sum-ii,Path Sum II,中等,否,,已拉取
114,flatten-binary-tree-to-linked-list,Flatten Binary Tree to Linked List,中等,否,,已拉取
115,distinct-subsequences,Distinct Subsequences,困难,否,,已拉取
116,populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,中等,否,,已拉取
117,populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers in Each Node II,中等,否,,已拉取
118,pascals-triangle,Pascal's Triangle,简单,否,,已拉取
119,pascals-triangle-ii,Pascal's Triangle II,简单,否,,已拉取
120,triangle,Triangle,中等,否,,已拉取
121,best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,简单,否,,已拉取
122,best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,中等,否,,已拉取
123,best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,困难,否,,已拉取
124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,困难,否,,已拉取
125,valid-palindrome,Valid Palindrome,简单,否,,已拉取
126,word-ladder-ii,Word Ladder II,困难,否,,已拉取
127,word-ladder,Word Ladder,困难,否,,已拉取
128,longest-consecutive-sequence,Longest Consecutive Sequence,中等,否,,已拉取
129,sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,中等,否,,已拉取
130,surrounded-regions,Surrounded Regions,中等,否,,已拉取
131,palindrome-partitioning,Palindrome Partitioning,中等,否,,已拉取
132,palindrome-partitioning-ii,Palindrome Partitioning II,困难,否,,已拉取
133,clone-graph,Clone Graph,中等,否,,已拉取
134,gas-station,Gas Station,中等,否,,已拉取
135,candy,Candy,困难,否,,已拉取
136,single-number,Single Number,简单,否,,已拉取
137,single-number-ii,Single Number II,中等,否,,已拉取
138,copy-list-with-random-pointer,Copy List with Random Pointer,中等,否,,已拉取
139,word-break,Word Break,中等,否,,已拉取
140,word-break-ii,Word Break II,困难,否,,已拉取
141,linked-list-cycle,Linked List Cycle,简单,否,,已拉取
142,linked-list-cycle-ii,Linked List Cycle II,中等,否,,已拉取
143,reorder-list,Reorder List,中等,否,,已拉取
144,binary-tree-preorder-traversal,Binary Tree Preorder Traversal,简单,否,,已拉取
145,binary-tree-postorder-traversal,Binary Tree Postorder Traversal,简单,否,,已拉取
146,lru-cache,LRU Cache,中等,否,,已拉取
147,insertion-sort-list,Insertion Sort List,中等,否,,已拉取
148,sort-list,Sort List,中等,否,,已拉取
149,max-points-on-a-line,Max Points on a Line,困难,否,,已拉取
150,evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,中等,否,,已拉取
151,reverse-words-in-a-string,Reverse Words in a String,中等,否,,已拉取
152,maximum-product-subarray,Maximum Product Subarray,中等,否,,已拉取
153,find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,中等,否,,已拉取
154,find-minimum-in-rotated-sorted-array-ii,Find Minimum in Rotated Sorted Array II,困难,否,,已拉取
155,min-stack,Min Stack,中等,否,,已拉取
156,binary-tree-upside-down,Binary Tree Upside Down,中等,是,,已拉取
157,read-n-characters-given-read4,Read N Characters Given Read4,简单,是,,已拉取
158,read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given read4 II - Call Multiple Times,困难,是,,已拉取
159,longest-substring-with-at-most-two-distinct-characters,Longest Substring with At Most Two Distinct Characters,中等,是,,已拉取
160,intersection-of-two-linked-lists,Intersection of Two Linked Lists,简单,否,,已拉取
161,one-edit-distance,One Edit Distance,中等,是,,已拉取
162,find-peak-element,Find Peak Element,中等,否,,已拉取
163,missing-ranges,Missing Ranges,简单,是,,已拉取
164,maximum-gap,Maximum Gap,中等,否,,已拉取
165,compare-version-numbers,Compare Version Numbers,中等,否,,已拉取
166,fraction-to-recurring-decimal,Fraction to Recurring Decimal,中等,否,,已拉取
167,two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,中等,否,,已拉取
168,excel-sheet-column-title,Excel Sheet Column Title,简单,否,,已拉取
169,majority-element,Majority Element,简单,否,,已拉取
170,two-sum-iii-data-structure-design,Two Sum III - Data structure design,简单,是,,已拉取
171,excel-sheet-column-number,Excel Sheet Column Number,简单,否,,已拉取
172,factorial-trailing-zeroes,Factorial Trailing Zeroes,中等,否,,已拉取
173,binary-search-tree-iterator,Binary Search Tree Iterator,中等,否,,已拉取
174,dungeon-game,Dungeon Game,困难,否,,已拉取
175,combine-two-tables,Combine Two Tables,简单,否,,已拉取
176,second-highest-salary,Second Highest Salary,中等,否,,已拉取
177,nth-highest-salary,Nth Highest Salary,中等,否,,已拉取
178,rank-scores,Rank Scores,中等,否,,已拉取
179,largest-number,Largest Number,中等,否,,已拉取
180,consecutive-numbers,Consecutive Numbers,中等,否,,已拉取
181,employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,简单,否,,已拉取
182,duplicate-emails,Duplicate Emails,简单,否,,已拉取
183,customers-who-never-order,Customers Who Never Order,简单,否,,已拉取
184,department-highest-salary,Department Highest Salary,中等,否,,已拉取
185,department-top-three-salaries,Department Top Three Salaries,困难,否,,已拉取
186,reverse-words-in-a-string-ii,Reverse Words in a String II,中等,是,,已拉取
187,repeated-dna-sequences,Repeated DNA Sequences,中等,否,,已拉取
188,best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,困难,否,,已拉取
189,rotate-array,Rotate Array,中等,否,,已拉取
190,reverse-bits,Reverse Bits,简单,否,,已拉取
191,number-of-1-bits,Number of 1 Bits,简单,否,,已拉取
192,word-frequency,Word Frequency,中等,否,,已拉取
193,valid-phone-numbers,Valid Phone Numbers,简单,否,,已拉取
194,transpose-file,Transpose File,中等,否,,已拉取
195,tenth-line,Tenth Line,简单,否,,已拉取
196,delete-duplicate-emails,Delete Duplicate Emails,简单,否,,已拉取
197,rising-temperature,Rising Temperature,简单,否,,已拉取
198,house-robber,House Robber,中等,否,,已拉取
199,binary-tree-right-side-view,Binary Tree Right Side View,中等,否,,已拉取
200,number-of-islands,Number of Islands,中等,否,,已拉取
201,bitwise-and-of-numbers-range,Bitwise AND of Numbers Range,中等,否,,已拉取
202,happy-number,Happy Number,简单,否,,已拉取
203,remove-linked-list-elements,Remove Linked List Elements,简单,否,,已拉取
204,count-primes,Count Primes,中等,否,,已拉取
205,isomorphic-strings,Isomorphic Strings,简单,否,,已拉取
206,reverse-linked-list,Reverse Linked List,简单,否,,已拉取
207,course-schedule,Course Schedule,中等,否,,已拉取
208,implement-trie-prefix-tree,Implement Trie (Prefix Tree),中等,否,,已拉取
209,minimum-size-subarray-sum,Minimum Size Subarray Sum,中等,否,,已拉取
210,course-schedule-ii,Course Schedule II,中等,否,,已拉取
211,design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,中等,否,,已拉取
212,word-search-ii,Word Search II,困难,否,,已拉取
213,house-robber-ii,House Robber II,中等,否,,已拉取
214,shortest-palindrome,Shortest Palindrome,困难,否,,已拉取
215,kth-largest-element-in-an-array,Kth Largest Element in an Array,中等,否,,已拉取
216,combination-sum-iii,Combination Sum III,中等,否,,已拉取
217,contains-duplicate,Contains Duplicate,简单,否,,已拉取
218,the-skyline-problem,The Skyline Problem,困难,否,,已拉取
219,contains-duplicate-ii,Contains Duplicate II,简单,否,,已拉取
220,contains-duplicate-iii,Contains Duplicate III,困难,否,,已拉取
221,maximal-square,Maximal Square,中等,否,,已拉取
222,count-complete-tree-nodes,Count Complete Tree Nodes,简单,否,,已拉取
223,rectangle-area,Rectangle Area,中等,否,,已拉取
224,basic-calculator,Basic Calculator,困难,否,,已拉取
225,implement-stack-using-queues,Implement Stack using Queues,简单,否,,已拉取
226,invert-binary-tree,Invert Binary Tree,简单,否,,已拉取
227,basic-calculator-ii,Basic Calculator II,中等,否,,已拉取
228,summary-ranges,Summary Ranges,简单,否,,已拉取
229,majority-element-ii,Majority Element II,中等,否,,已拉取
230,kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,中等,否,,已拉取
231,power-of-two,Power of Two,简单,否,,已拉取
232,implement-queue-using-stacks,Implement Queue using Stacks,简单,否,,已拉取
233,number-of-digit-one,Number of Digit One,困难,否,,已拉取
234,palindrome-linked-list,Palindrome Linked List,简单,否,,已拉取
235,lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,中等,否,,已拉取
236,lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,中等,否,,已拉取
237,delete-node-in-a-linked-list,Delete Node in a Linked List,中等,否,,已拉取
238,product-of-array-except-self,Product of Array Except Self,中等,否,,已拉取
239,sliding-window-maximum,Sliding Window Maximum,困难,否,,已拉取
240,search-a-2d-matrix-ii,Search a 2D Matrix II,中等,否,,已拉取
241,different-ways-to-add-parentheses,Different Ways to Add Parentheses,中等,否,,已拉取
242,valid-anagram,Valid Anagram,简单,否,,已拉取
243,shortest-word-distance,Shortest Word Distance,简单,是,,已拉取
244,shortest-word-distance-ii,Shortest Word Distance II,中等,是,,已拉取
245,shortest-word-distance-iii,Shortest Word Distance III,中等,是,,已拉取
246,strobogrammatic-number,Strobogrammatic Number,简单,是,,已拉取
247,strobogrammatic-number-ii,Strobogrammatic Number II,中等,是,,已拉取
248,strobogrammatic-number-iii,Strobogrammatic Number III,困难,是,,已拉取
249,group-shifted-strings,Group Shifted Strings,中等,是,,已拉取
250,count-univalue-subtrees,Count Univalue Subtrees,中等,是,,已拉取
251,flatten-2d-vector,Flatten 2D Vector,中等,是,,已拉取
252,meeting-rooms,Meeting Rooms,简单,是,,已拉取
253,meeting-rooms-ii,Meeting Rooms II,中等,是,,已拉取
254,factor-combinations,Factor Combinations,中等,是,,已拉取
255,verify-preorder-sequence-in-binary-search-tree,Verify Preorder Sequence in Binary Search Tree,中等,是,,已拉取
256,paint-house,Paint House,中等,是,,已拉取
257,binary-tree-paths,Binary Tree Paths,简单,否,,已拉取
258,add-digits,Add Digits,简单,否,,已拉取
259,3sum-smaller,3Sum Smaller,中等,是,,已拉取
260,single-number-iii,Single Number III,中等,否,,已拉取
261,graph-valid-tree,Graph Valid Tree,中等,是,,已拉取
262,trips-and-users,Trips and Users,困难,否,,已拉取
263,ugly-number,Ugly Number,简单,否,,已拉取
264,ugly-number-ii,Ugly Number II,中等,否,,已拉取
265,paint-house-ii,Paint House II,困难,是,,已拉取
266,palindrome-permutation,Palindrome Permutation,简单,是,,已拉取
267,palindrome-permutation-ii,Palindrome Permutation II,中等,是,,已拉取
268,missing-number,Missing Number,简单,否,,已拉取
269,alien-dictionary,Alien Dictionary,困难,是,,已拉取
270,closest-binary-search-tree-value,Closest Binary Search Tree Value,简单,是,,已拉取
271,encode-and-decode-strings,Encode and Decode Strings,中等,是,,已拉取
272,closest-binary-search-tree-value-ii,Closest Binary Search Tree Value II,困难,是,,已拉取
273,integer-to-english-words,Integer to English Words,困难,否,,已拉取
274,h-index,H-Index,中等,否,,已拉取
275,h-index-ii,H-Index II,中等,否,,已拉取
276,paint-fence,Paint Fence,中等,是,,已拉取
277,find-the-celebrity,Find the Celebrity,中等,是,,已拉取
278,first-bad-version,First Bad Version,简单,否,,已拉取
279,perfect-squares,Perfect Squares,中等,否,,已拉取
280,wiggle-sort,Wiggle Sort,中等,是,,已拉取
281,zigzag-iterator,Zigzag Iterator,中等,是,,已拉取
282,expression-add-operators,Expression Add Operators,困难,否,,已拉取
283,move-zeroes,Move Zeroes,简单,否,,已拉取
284,peeking-iterator,Peeking Iterator,中等,否,,已拉取
285,inorder-successor-in-bst,Inorder Successor in BST,中等,是,,已拉取
286,walls-and-gates,Walls and Gates,中等,是,,已拉取
287,find-the-duplicate-number,Find the Duplicate Number,中等,否,,已拉取
288,unique-word-abbreviation,Unique Word Abbreviation,中等,是,,已拉取
289,game-of-life,Game of Life,中等,否,,已拉取
290,word-pattern,Word Pattern,简单,否,,已拉取
291,word-pattern-ii,Word Pattern II,中等,是,,已拉取
292,nim-game,Nim Game,简单,否,,已拉取
293,flip-game,Flip Game,简单,是,,已拉取
294,flip-game-ii,Flip Game II,中等,是,,已拉取
295,find-median-from-data-stream,Find Median from Data Stream,困难,否,,已拉取
296,best-meeting-point,Best Meeting Point,困难,是,,已拉取
297,serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,困难,否,,已拉取
298,binary-tree-longest-consecutive-sequence,Binary Tree Longest Consecutive Sequence,中等,是,,已拉取
299,bulls-and-cows,Bulls and Cows,中等,否,,已拉取
300,longest-increasing-subsequence,Longest Increasing Subsequence,中等,否,,已拉取
301,remove-invalid-parentheses,Remove Invalid Parentheses,困难,否,,已拉取
302,smallest-rectangle-enclosing-black-pixels,Smallest Rectangle Enclosing Black Pixels,困难,是,,已拉取
303,range-sum-query-immutable,Range Sum Query - Immutable,简单,否,,已拉取
304,range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,中等,否,,已拉取
305,number-of-islands-ii,Number of Islands II,困难,是,,已拉取
306,additive-number,Additive Number,中等,否,,已拉取
307,range-sum-query-mutable,Range Sum Query - Mutable,中等,否,,已拉取
308,range-sum-query-2d-mutable,Range Sum Query 2D - Mutable,中等,是,,已拉取
309,best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,中等,否,,已拉取
310,minimum-height-trees,Minimum Height Trees,中等,否,,已拉取
311,sparse-matrix-multiplication,Sparse Matrix Multiplication,中等,是,,已拉取
312,burst-balloons,Burst Balloons,困难,否,,已拉取
313,super-ugly-number,Super Ugly Number,中等,否,,已拉取
314,binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,中等,是,,已拉取
315,count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,困难,否,,已拉取
316,remove-duplicate-letters,Remove Duplicate Letters,中等,否,,已拉取
317,shortest-distance-from-all-buildings,Shortest Distance from All Buildings,困难,是,,已拉取
318,maximum-product-of-word-lengths,Maximum Product of Word Lengths,中等,否,,已拉取
319,bulb-switcher,Bulb Switcher,中等,否,,已拉取
320,generalized-abbreviation,Generalized Abbreviation,中等,是,,已拉取
321,create-maximum-number,Create Maximum Number,困难,否,,已拉取
322,coin-change,Coin Change,中等,否,,已拉取
323,number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,中等,是,,已拉取
324,wiggle-sort-ii,Wiggle Sort II,中等,否,,已拉取
325,maximum-size-subarray-sum-equals-k,Maximum Size Subarray Sum Equals k,中等,是,,已拉取
326,power-of-three,Power of Three,简单,否,,已拉取
327,count-of-range-sum,Count of Range Sum,困难,否,,已拉取
328,odd-even-linked-list,Odd Even Linked List,中等,否,,已拉取
329,longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,困难,否,,已拉取
330,patching-array,Patching Array,困难,否,,已拉取
331,verify-preorder-serialization-of-a-binary-tree,Verify Preorder Serialization of a Binary Tree,中等,否,,已拉取
332,reconstruct-itinerary,Reconstruct Itinerary,困难,否,,已拉取
333,largest-bst-subtree,Largest BST Subtree,中等,是,,已拉取
334,increasing-triplet-subsequence,Increasing Triplet Subsequence,中等,否,,已拉取
335,self-crossing,Self Crossing,困难,否,,已拉取
336,palindrome-pairs,Palindrome Pairs,困难,否,,已拉取
337,house-robber-iii,House Robber III,中等,否,,已拉取
338,counting-bits,Counting Bits,简单,否,,已拉取
339,nested-list-weight-sum,Nested List Weight Sum,中等,是,,已拉取
340,longest-substring-with-at-most-k-distinct-characters,Longest Substring with At Most K Distinct Characters,中等,是,,已拉取
341,flatten-nested-list-iterator,Flatten Nested List Iterator,中等,否,,已拉取
342,power-of-four,Power of Four,简单,否,,已拉取
343,integer-break,Integer Break,中等,否,,已拉取
344,reverse-string,Reverse String,简单,否,,已拉取
345,reverse-vowels-of-a-string,Reverse Vowels of a String,简单,否,,已拉取
346,moving-average-from-data-stream,Moving Average from Data Stream,简单,是,,已拉取
347,top-k-frequent-elements,Top K Frequent Elements,中等,否,,已拉取
348,design-tic-tac-toe,Design Tic-Tac-Toe,中等,是,,已拉取
349,intersection-of-two-arrays,Intersection of Two Arrays,简单,否,,已拉取
350,intersection-of-two-arrays-ii,Intersection of Two Arrays II,简单,否,,已拉取
351,android-unlock-patterns,Android Unlock Patterns,中等,是,,已拉取
352,data-stream-as-disjoint-intervals,Data Stream as Disjoint Intervals,困难,否,,已拉取
353,design-snake-game,Design Snake Game,中等,是,,已拉取
354,russian-doll-envelopes,Russian Doll Envelopes,困难,否,,已拉取
355,design-twitter,Design Twitter,中等,否,,已拉取
356,line-reflection,Line Reflection,中等,是,,已拉取
357,count-numbers-with-unique-digits,Count Numbers with Unique Digits,中等,否,,已拉取
358,rearrange-string-k-distance-apart,Rearrange String k Distance Apart,困难,是,,已拉取
359,logger-rate-limiter,Logger Rate Limiter,简单,是,,已拉取
360,sort-transformed-array,Sort Transformed Array,中等,是,,已拉取
361,bomb-enemy,Bomb Enemy,中等,是,,已拉取
362,design-hit-counter,Design Hit Counter,中等,是,,已拉取
363,max-sum-of-rectangle-no-larger-than-k,Max Sum of Rectangle No Larger Than K,困难,否,,已拉取
364,nested-list-weight-sum-ii,Nested List Weight Sum II,中等,是,,已拉取
365,water-and-jug-problem,Water and Jug Problem,中等,否,,已拉取
366,find-leaves-of-binary-tree,Find Leaves of Binary Tree,中等,是,,已拉取
367,valid-perfect-square,Valid Perfect Square,简单,否,,已拉取
368,largest-divisible-subset,Largest Divisible Subset,中等,否,,已拉取
369,plus-one-linked-list,Plus One Linked List,中等,是,,已拉取
370,range-addition,Range Addition,中等,是,,已拉取
371,sum-of-two-integers,Sum of Two Integers,中等,否,,已拉取
372,super-pow,Super Pow,中等,否,,已拉取
373,find-k-pairs-with-smallest-sums,Find K Pairs with Smallest Sums,中等,否,,已拉取
374,guess-number-higher-or-lower,Guess Number Higher or Lower,简单,否,,已拉取
375,guess-number-higher-or-lower-ii,Guess Number Higher or Lower II,中等,否,,已拉取
376,wiggle-subsequence,Wiggle Subsequence,中等,否,,已拉取
377,combination-sum-iv,Combination Sum IV,中等,否,,已拉取
378,kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,中等,否,,已拉取
379,design-phone-directory,Design Phone Directory,中等,是,,已拉取
380,insert-delete-getrandom-o1,Insert Delete GetRandom O(1),中等,否,,已拉取
381,insert-delete-getrandom-o1-duplicates-allowed,Insert Delete GetRandom O(1) - Duplicates allowed,困难,否,,已拉取
382,linked-list-random-node,Linked List Random Node,中等,否,,已拉取
383,ransom-note,Ransom Note,简单,否,,已拉取
384,shuffle-an-array,Shuffle an Array,中等,否,,已拉取
385,mini-parser,Mini Parser,中等,否,,已拉取
386,lexicographical-numbers,Lexicographical Numbers,中等,否,,已拉取
387,first-unique-character-in-a-string,First Unique Character in a String,简单,否,,已拉取
388,longest-absolute-file-path,Longest Absolute File Path,中等,否,,已拉取
389,find-the-difference,Find the Difference,简单,否,,已拉取
390,elimination-game,Elimination Game,中等,否,,已拉取
391,perfect-rectangle,Perfect Rectangle,困难,否,,已拉取
392,is-subsequence,Is Subsequence,简单,否,,已拉取
393,utf-8-validation,UTF-8 Validation,中等,否,,已拉取
394,decode-string,Decode String,中等,否,,已拉取
395,longest-substring-with-at-least-k-repeating-characters,Longest Substring with At Least K Repeating Characters,中等,否,,已拉取
396,rotate-function,Rotate Function,中等,否,,已拉取
397,integer-replacement,Integer Replacement,中等,否,,已拉取
398,random-pick-index,Random Pick Index,中等,否,,已拉取
399,evaluate-division,Evaluate Division,中等,否,,已拉取
400,nth-digit,Nth Digit,中等,否,,已拉取
401,binary-watch,Binary Watch,简单,否,,已拉取
402,remove-k-digits,Remove K Digits,中等,否,,已拉取
403,frog-jump,Frog Jump,困难,否,,已拉取
404,sum-of-left-leaves,Sum of Left Leaves,简单,否,,已拉取
405,convert-a-number-to-hexadecimal,Convert a Number to Hexadecimal,简单,否,,已拉取
406,queue-reconstruction-by-height,Queue Reconstruction by Height,中等,否,,已拉取
407,trapping-rain-water-ii,Trapping Rain Water II,困难,否,,已拉取
408,valid-word-abbreviation,Valid Word Abbreviation,简单,是,,已拉取
409,longest-palindrome,Longest Palindrome,简单,否,,已拉取
410,split-array-largest-sum,Split Array Largest Sum,困难,否,,已拉取
